name,class,description,weight
Advanced Mammoth Gloves,BP_ZB_ShouTao_Boss_5_2_c,slot,Boss,1.5/s,25,36,264,Gloves attached with Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.4
Advanced Mammoth Leather Armor,BP_ZB_YiFu_Boss_5_2_c,slot,Boss,1.5/s,25,36,264,Costume wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.2
Advanced Mammoth Leather Boots,BP_ZB_XieZi_Boss_5_2_c,slot,Boss,1.5/s,25,36,264,Boots wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.6
Advanced Mammoth Leather Pants,BP_ZB_KuZi_Boss_5_2_c,slot,Boss,1.5/s,25,36,264,Pants wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.2
Advanced Mammoth Necklace,BP_ZB_XiangLian_Boss_5_2_c,slot,Boss,1.5/s,25,36,264,A necklace decorated with a Mammoth ivory, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.2
Advanced Mammoth Ring,BP_ZB_JieZhi_Boss_5_2_c,slot,Boss,1.5/s,25,36,264,A ring decorated with Mammoth bones, capable of deterring enemies (Stats get enhanced further based on inherited gears). Set effects: Crit +15%, Crit Resist +15%,0.2
Mammoth Gloves,BP_ZB_ShouTao_Boss_5_c,slot,Boss,1.5/s,25,36,264,Gloves attached with Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.4
Mammoth Leather Armor,BP_ZB_YiFu_Boss_5_c,slot,Boss,1.5/s,25,36,264,Costume wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.2
Mammoth Leather Boots,BP_ZB_XieZi_Boss_5_c,slot,Boss,1.5/s,25,36,264,Boots wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.6
Mammoth Leather Pants,BP_ZB_KuZi_Boss_5_c,slot,Boss,1.5/s,25,36,264,Pants wrapped in Mammoth hide (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.2
Mammoth Necklace,BP_ZB_XiangLian_Boss_5_c,slot,Boss,1.5/s,25,36,264,A necklace decorated with a Mammoth ivory, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Crit +15%, Crit Resist +15%,0.2
Mammoth Ring,BP_ZB_JieZhi_Boss_5_c,slot,Boss,1.5/s,25,36,264,A ring decorated with Mammoth bones, capable of deterring enemies (Stats get enhanced further based on inherited gears). Set effects: Crit +15%, Crit Resist +15%,0.2
