name,class,description,weight
[Flint] Advanced Combat Costume,BP_ZB_ZhiHui_ZD_31_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe in battles,0.6
[Flint] Advanced Combat Gloves,BP_ZB_ZhiHui_ZD_32_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe in battles,0.3
[Flint] Advanced Combat Pants,BP_ZB_ZhiHui_ZD_33_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe in battles,0.6
[Flint] Advanced Combat Shoes,BP_ZB_ZhiHui_ZD_34_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe in battles,0.4
[Flint] Basic Combat Costume,BP_ZB_ZhiHui_ZD_11_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe in battles,0.2
[Flint] Basic Combat Gloves,BP_ZB_ZhiHui_ZD_12_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe in battles,0.1
[Flint] Basic Combat Pants,BP_ZB_ZhiHui_ZD_13_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe in battles,0.2
[Flint] Basic Combat Shoes,BP_ZB_ZhiHui_ZD_14_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe in battles,0.15
[Flint] Everyday Costume,BP_ZB_ZhiHui_SH_1_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe every day,0.2
[Flint] Everyday Gloves,BP_ZB_ZhiHui_SH_2_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe every day,0.1
[Flint] Everyday Pants,BP_ZB_ZhiHui_SH_3_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe every day,0.2
[Flint] Everyday Shoes,BP_ZB_ZhiHui_SH_4_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of basic costume worn by the Flint Tribe every day,0.15
[Flint] Medium Combat Costume,BP_ZB_ZhiHui_ZD_21_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of medium costume worn by the Flint Tribe in battles,0.4
[Flint] Medium Combat Gloves,BP_ZB_ZhiHui_ZD_22_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of medium costume worn by the Flint Tribe in battles,0.2
[Flint] Medium Combat Pants,BP_ZB_ZhiHui_ZD_23_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of medium costume worn by the Flint Tribe in battles,0.4
[Flint] Medium Combat Shoes,BP_ZB_ZhiHui_ZD_24_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of medium costume worn by the Flint Tribe in battles,0.3
[Flint] Winter Gloves,BP_ZB_ZhiHui_YH_2_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe to resist the cold,0.3
[Flint] Winter Knitwear,BP_ZB_ZhiHui_YH_1_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe to resist the cold,0.6
[Flint] Winter Pants,BP_ZB_ZhiHui_YH_3_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe to resist the cold,0.6
[Flint] Winter Shoes,BP_ZB_ZhiHui_YH_4_c,slot,Tribe Flint,1.5/s,25,36,264,Appearance of advanced costume worn by the Flint Tribe to resist the cold,0.4
