name,class,description,weight
Advanced Frog Bone Necklace,BP_ZB_XiangLian_Boss_2_2_c,slot,Boss,1.5/s,25,36,264,A necklace decorated with Fogfrog bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Advanced Frog Bone Ring,BP_ZB_JieZhi_Boss_2_2_c,slot,Boss,1.5/s,25,36,264,A ring decorated with Fogfrog bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Advanced Frog Claw Gloves,BP_ZB_ShouTao_Boss_2_2_c,slot,Boss,1.5/s,25,36,264,Gloves attached with Fogfrog claws (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.4
Advanced Frog Leather Armor,BP_ZB_YiFu_Boss_2_2_c,slot,Boss,1.5/s,25,36,264,Costume wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Advanced Frog Leather Boots,BP_ZB_XieZi_Boss_2_2_c,slot,Boss,1.5/s,25,36,264,Boots wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.6
Advanced Frog Leather Pants,BP_ZB_KuZi_Boss_2_2_c,slot,Boss,1.5/s,25,36,264,Pants wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Frog Bone Necklace,BP_ZB_XiangLian_Boss_2_c,slot,Boss,1.5/s,25,36,264,A necklace decorated with Fogfrog bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Frog Bone Ring,BP_ZB_JieZhi_Boss_2_c,slot,Boss,1.5/s,25,36,264,A ring decorated with Fogfrog bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Frog Claw Gloves,BP_ZB_ShouTao_Boss_2_c,slot,Boss,1.5/s,25,36,264,Gloves attached with Fogfrog claws (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.4
Frog Leather Armor,BP_ZB_YiFu_Boss_2_c,slot,Boss,1.5/s,25,36,264,Costume wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
Frog Leather Boots,BP_ZB_XieZi_Boss_2_c,slot,Boss,1.5/s,25,36,264,Boots wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.6
Frog Leather Pants,BP_ZB_KuZi_Boss_2_c,slot,Boss,1.5/s,25,36,264,Pants wrapped in Fogfrog skin (Stats get enhanced further based on inherited gear). Set effects: Poison-proof +50%, Body Poison -3 per minute,0.2
