name,class,description,weight
Advanced Tempest Griffin Feather Armor,BP_ZB_YiFu_Boss_3_2_c,slot,Boss,1.5/s,25,36,264,Costume wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Advanced Tempest Griffin Feather Boots,BP_ZB_XieZi_Boss_3_2_c,slot,Boss,1.5/s,25,36,264,Boots wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.6
Advanced Tempest Griffin Feather Pants,BP_ZB_KuZi_Boss_3_2_c,slot,Boss,1.5/s,25,36,264,Pants wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Advanced Tempest Griffin Gloves,BP_ZB_ShouTao_Boss_3_2_c,slot,Boss,1.5/s,25,36,264,Gloves attached with Tempest Griffin claws (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.4
Advanced Tempest Griffin Necklace,BP_ZB_XiangLian_Boss_3_2_c,slot,Boss,1.5/s,25,36,264,A necklace decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Advanced Tempest Griffin Ring,BP_ZB_JieZhi_Boss_3_2_c,slot,Boss,1.5/s,25,36,264,A ring decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Tempest Griffin Feather Armor,BP_ZB_YiFu_Boss_3_c,slot,Boss,1.5/s,25,36,264,Costume wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Tempest Griffin Feather Boots,BP_ZB_XieZi_Boss_3_c,slot,Boss,1.5/s,25,36,264,Boots wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.6
Tempest Griffin Feather Pants,BP_ZB_KuZi_Boss_3_c,slot,Boss,1.5/s,25,36,264,Pants wrapped in Tempest Griffin Feathers (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Tempest Griffin Gloves,BP_ZB_ShouTao_Boss_3_c,slot,Boss,1.5/s,25,36,264,Gloves attached with Tempest Griffin claws (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.4
Tempest Griffin Necklace,BP_ZB_XiangLian_Boss_3_c,slot,Boss,1.5/s,25,36,264,A necklace decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further when inheriting gears). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
Tempest Griffin Ring,BP_ZB_JieZhi_Boss_3_c,slot,Boss,1.5/s,25,36,264,A ring decorated with Tempest Griffin bones, capable of deterring enemies (Stats get enhanced further based on inherited gear). Set effects: Radiation-proof +50%, Body Radiation -3 per minute,0.2
